split,image_path,annotation_path,image_filename,sequence_folder,image_id,has_vehicle,has_visible_vehicle,has_hidden_vehicle,num_vehicles,num_visible_vehicles,num_hidden_vehicles,num_direct_lights,num_reflections,num_oncoming_reflections,num_rear_reflections,has_oncoming_reflection,has_reflection_only_signal,vehicle_positions,direct_light_positions,reflection_positions,reflection_only_instances,reflection_density,label_reflection_only
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000185.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000185.json,000185.png,S00000,185,1,1,0,1,1,0,2,2,2,0,1,0,"[[611, 558]]","[[602, 552], [620, 552]]","[[443, 550], [709, 551]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000187.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000187.json,000187.png,S00000,187,1,1,0,1,1,0,2,2,2,0,1,0,"[[609, 559]]","[[601, 553], [619, 554]]","[[439, 549], [710, 552]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000189.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000189.json,000189.png,S00000,189,1,1,0,1,1,0,2,2,2,0,1,0,"[[609, 561]]","[[600, 555], [618, 556]]","[[434, 552], [710, 555]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000191.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000191.json,000191.png,S00000,191,1,1,0,1,1,0,2,2,2,0,1,0,"[[608, 561]]","[[599, 556], [618, 556]]","[[431, 553], [710, 556]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000193.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000193.json,000193.png,S00000,193,1,1,0,1,1,0,2,2,2,0,1,0,"[[608, 562]]","[[599, 557], [618, 557]]","[[431, 553], [710, 556]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000195.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000195.json,000195.png,S00000,195,1,1,0,1,1,0,2,2,2,0,1,0,"[[608, 562]]","[[599, 556], [618, 556]]","[[435, 553], [711, 556]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000197.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000197.json,000197.png,S00000,197,1,1,0,1,1,0,2,2,2,0,1,0,"[[608, 562]]","[[598, 554], [618, 555]]","[[431, 553], [711, 554]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000199.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000199.json,000199.png,S00000,199,1,1,0,1,1,0,2,2,2,0,1,0,"[[607, 562]]","[[597, 553], [617, 554]]","[[425, 551], [712, 553]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000201.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000201.json,000201.png,S00000,201,1,1,0,1,1,0,2,2,2,0,1,0,"[[606, 562]]","[[595, 552], [616, 553]]","[[422, 551], [711, 552]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000203.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000203.json,000203.png,S00000,203,1,1,0,1,1,0,2,2,2,0,1,0,"[[604, 561]]","[[594, 552], [615, 552]]","[[416, 553], [712, 552]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000205.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000205.json,000205.png,S00000,205,1,1,0,1,1,0,2,2,2,0,1,0,"[[602, 561]]","[[592, 553], [614, 553]]","[[419, 552], [714, 553]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000207.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000207.json,000207.png,S00000,207,1,1,0,1,1,0,2,2,2,0,1,0,"[[601, 561]]","[[591, 553], [613, 553]]","[[408, 553], [715, 553]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000209.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000209.json,000209.png,S00000,209,1,1,0,1,1,0,2,2,2,0,1,0,"[[600, 561]]","[[589, 552], [611, 552]]","[[403, 552], [716, 552]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000211.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000211.json,000211.png,S00000,211,1,1,0,1,1,0,2,2,2,0,1,0,"[[598, 559]]","[[588, 549], [609, 549]]","[[400, 549], [717, 551]]",0,2.0,0
train,D:\Judy Uni\archive\PVDN\night\train\images\S00000\000213.png,D:\Judy Uni\archive\PVDN\night\train\labels\keypoints\000213.json,000213.png,S00000,213,1,1,0,1,1,0,2,2,2,0,1,0,"[[596, 556]]","[[585, 545], [608, 546]]","[[435, 557], [717, 548]]",0,2.0,0
