epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.13,3.25717,7.46145,1.00269,0.70511,0.58503,0.6313,0.27022,2.24829,2.48218,0.8704,0.000666098,0.000666098,0.000666098
2,485.02,2.77395,2.37688,0.92148,0.77447,0.48506,0.58364,0.25787,2.34998,1.72301,0.88385,0.00130638,0.00130638,0.00130638
3,710.344,2.67954,1.90548,0.91222,0.77602,0.56188,0.64842,0.29073,2.22263,1.42741,0.86859,0.00192025,0.00192025,0.00192025
4,926.661,2.60472,1.76194,0.90313,0.82664,0.5761,0.67092,0.31609,2.1008,1.42617,0.85032,0.0018812,0.0018812,0.0018812
5,1173.28,2.49971,1.66274,0.89311,0.83805,0.54481,0.67453,0.30302,2.19923,1.29059,0.84561,0.0018416,0.0018416,0.0018416
6,1428.71,2.41732,1.60447,0.88476,0.88844,0.63158,0.74397,0.32707,2.11133,1.2665,0.84792,0.001802,0.001802,0.001802
7,1682.69,2.35867,1.55217,0.87721,0.84316,0.6202,0.71867,0.35965,1.98714,1.21789,0.8302,0.0017624,0.0017624,0.0017624
8,1891.25,2.28173,1.45874,0.87176,0.86869,0.60225,0.71938,0.3816,1.91761,1.19917,0.83598,0.0017228,0.0017228,0.0017228
9,2579.59,2.25632,1.45583,0.86548,0.84078,0.63097,0.71962,0.38303,1.89552,1.19373,0.83216,0.0016832,0.0016832,0.0016832
10,3034.08,2.19066,1.39536,0.86176,0.88917,0.63442,0.72649,0.39818,1.79,1.16841,0.82716,0.0016436,0.0016436,0.0016436
11,3224.67,2.19369,1.38696,0.86512,0.9019,0.61735,0.7349,0.40155,1.81672,1.19626,0.82544,0.001604,0.001604,0.001604
12,3413.7,2.16819,1.35404,0.85938,0.90517,0.61309,0.7327,0.36567,1.87208,1.23063,0.82655,0.0015644,0.0015644,0.0015644
13,3686.65,2.08515,1.29399,0.85331,0.84385,0.62873,0.73924,0.39649,1.83575,1.14468,0.82487,0.0015248,0.0015248,0.0015248
14,3906.03,2.10505,1.29983,0.85693,0.89741,0.63869,0.73798,0.41079,1.77584,1.11868,0.82538,0.0014852,0.0014852,0.0014852
15,4107.69,2.04841,1.29405,0.85309,0.91529,0.62447,0.74181,0.40749,1.83738,1.11516,0.82899,0.0014456,0.0014456,0.0014456
16,4320.49,2.06589,1.26007,0.84968,0.87429,0.63869,0.7419,0.41731,1.72145,1.14695,0.81648,0.001406,0.001406,0.001406
17,4530.05,2.02262,1.23109,0.84784,0.89818,0.62742,0.73795,0.41723,1.77614,1.14264,0.82704,0.0013664,0.0013664,0.0013664
18,4738.57,1.9859,1.21278,0.84547,0.83961,0.65007,0.7448,0.42301,1.77657,1.14336,0.82503,0.0013268,0.0013268,0.0013268
19,4947.44,1.96745,1.17716,0.84506,0.88352,0.66895,0.7675,0.4323,1.68257,1.09208,0.81274,0.0012872,0.0012872,0.0012872
20,5173.44,1.98067,1.19126,0.84604,0.90119,0.633,0.75299,0.43515,1.70923,1.09693,0.81755,0.0012476,0.0012476,0.0012476
21,5397,1.9442,1.17702,0.84367,0.92565,0.63751,0.74052,0.4179,1.74101,1.16109,0.82248,0.001208,0.001208,0.001208
22,5620.56,1.92799,1.15921,0.84212,0.91014,0.61024,0.72254,0.41799,1.71704,1.12024,0.82321,0.0011684,0.0011684,0.0011684
23,5854.01,1.90734,1.13589,0.83977,0.88106,0.62447,0.73247,0.42648,1.69785,1.14367,0.81972,0.0011288,0.0011288,0.0011288
24,6053.78,1.87748,1.11189,0.83786,0.86977,0.62162,0.71297,0.42413,1.73838,1.18503,0.8297,0.0010892,0.0010892,0.0010892
25,6254.17,1.87737,1.10554,0.83627,0.88143,0.61451,0.71905,0.42855,1.6803,1.20417,0.81776,0.0010496,0.0010496,0.0010496
26,6456.86,1.85003,1.08187,0.83479,0.88075,0.64154,0.73268,0.43525,1.7217,1.17027,0.82308,0.00101,0.00101,0.00101
27,6665.42,1.84417,1.07809,0.83513,0.87024,0.63585,0.73398,0.40305,1.73067,1.14914,0.82224,0.0009704,0.0009704,0.0009704
28,6870.83,1.81897,1.05835,0.83475,0.88406,0.63727,0.74377,0.43218,1.71183,1.10131,0.81764,0.0009308,0.0009308,0.0009308
29,7070.99,1.80812,1.04801,0.83298,0.88,0.62873,0.74119,0.44488,1.70205,1.10226,0.82224,0.0008912,0.0008912,0.0008912
30,7271.11,1.81958,1.0445,0.83447,0.86245,0.62162,0.7242,0.41127,1.77407,1.17579,0.82793,0.0008516,0.0008516,0.0008516
31,7481.16,1.77759,1.02366,0.83207,0.92094,0.62731,0.7375,0.43634,1.69897,1.11166,0.82282,0.000812,0.000812,0.000812
